product_id,date,store_id,category,region,supplier_id,current_stock,daily_demand,lead_time_days,supplier_reliability_score,promotion_active,weather_impact,unit_price,stockout_risk_score,stockout_risk,inventory_days,reorder_point,inventory_value,potential_revenue_loss
P0003,2025-01-01,S020,Electronics,East,SUP005,57,18,2,0.93,1,-0.02,558.7,0.0,Low,3.17,36,31845.9,0.0
P0182,2025-01-01,S023,Grocery,West,SUP025,672,42,11,0.84,0,-0.15,181.22,0.0,Low,16.0,462,121779.84,0.0
P0196,2025-01-01,S023,Electronics,South,SUP025,68,16,5,0.76,0,-0.13,430.86,0.141,Low,4.25,80,29298.48,5170.32
P0079,2025-01-01,S028,Electronics,South,SUP005,360,25,11,0.95,1,-0.15,433.84,0.0,Low,14.4,275,156182.4,0.0
P0161,2025-01-01,S023,Sports,South,SUP001,34,23,5,0.85,0,-0.17,86.45,0.422,Medium,1.48,115,2939.3,7002.45
P0183,2025-01-01,S020,Home & Kitchen,North,SUP013,490,42,8,0.93,1,-0.17,170.47,0.0,Low,11.67,336,83530.3,0.0
P0109,2025-01-01,S028,Grocery,West,SUP012,384,19,9,0.78,0,0.02,500.12,0.0,Low,20.21,171,192046.08,0.0
P0144,2025-01-01,S009,Beauty,South,SUP012,310,38,2,0.87,0,0.04,730.87,0.0,Low,8.16,76,226569.7,0.0
P0074,2025-01-01,S004,Clothing,North,SUP019,120,18,3,0.91,0,0.01,455.86,0.0,Low,6.67,54,54703.2,0.0
P0188,2025-01-01,S003,Home & Kitchen,South,SUP035,171,25,12,0.77,1,0.09,363.97,0.402,Medium,6.84,300,62238.87,46952.13
P0106,2025-01-01,S022,Clothing,South,SUP040,300,34,9,0.96,0,-0.03,699.23,0.021,Low,8.82,306,209769.0,4195.38
P0167,2025-01-01,S027,Home & Kitchen,South,SUP026,338,19,7,0.8,0,0.14,127.01,0.0,Low,17.79,133,42929.38,0.0
P0054,2025-01-01,S022,Sports,West,SUP027,372,20,7,0.65,0,-0.03,554.53,0.0,Low,18.6,140,206285.16,0.0
P0097,2025-01-01,S003,Beauty,West,SUP018,207,33,7,0.81,0,0.25,272.25,0.129,Low,6.27,231,56355.75,6534.0
P0062,2025-01-01,S028,Sports,East,SUP037,115,9,9,0.88,0,0.06,51.33,0.0,Low,12.78,81,5902.95,0.0
P0181,2025-01-01,S022,Beauty,South,SUP002,666,33,9,0.85,0,-0.2,451.44,0.0,Low,20.18,297,300659.04,0.0
P0113,2025-01-01,S015,Grocery,West,SUP021,181,38,11,0.66,0,0.1,271.87,0.406,Medium,4.76,418,49208.47,64433.19
P0021,2025-01-01,S009,Sports,East,SUP012,410,17,3,0.94,0,0.17,390.7,0.0,Low,24.12,51,160187.0,0.0
P0171,2025-01-01,S005,Beauty,West,SUP011,585,36,4,0.84,0,-0.09,79.31,0.0,Low,16.25,144,46396.35,0.0
P0032,2025-01-01,S009,Electronics,East,SUP018,194,12,8,0.97,0,-0.01,560.16,0.0,Low,16.17,96,108671.04,0.0
P0188,2025-01-01,S011,Sports,West,SUP008,269,13,12,0.69,1,-0.15,465.23,0.0,Low,20.69,156,125146.87,0.0
